Row,z_1,z_2
0,-1.182717335491376,-0.6086508132843347
1,-1.3999956947934893,-0.0931865816909725
2,-1.805208192173829,0.9840071508984122
3,-1.3204958513243668,1.5252066968647204
4,-1.7420008118944788,2.0008073283650427
5,-1.922855110160152,3.2726509675895747
6,-1.4395054577352455,3.9068020284146896
7,-1.216366664492653,3.8136946751944025
8,-0.7893722175196819,3.869529466723299
9,-0.3209239646808909,4.1839554103772425
10,0.20500194259204726,4.02974179743242
11,0.41110613072833196,3.5266548058169436
12,0.6913488840948079,2.90017835473932
13,1.201471663352879,2.6614524194718006
14,1.796492048162203,2.0316815637288435
15,1.6158414323821628,0.293512337578496
16,1.4743026002245745,-0.49514979289648303
17,1.0387501664852483,-2.3437591202261805
18,-1.2555250172111048,-1.6977079409640805
19,-1.3991626867732023,-1.3355556336646355
20,,
21,-1.7420008118944788,2.0008073283650427
22,-2.1557174094563876,1.946051287946969
23,-2.072546275495395,2.7331546360067835
24,,
25,1.5802128006249885,-0.6099800261549464
26,1.7588978929985413,-1.3745688954226232
27,1.3528638903425192,-2.06262409401701
28,1.4743026002245745,-0.49514979289648303
29,,
30,2.126005771068413,0.5987461103577069
31,1.6158414323821628,0.293512337578496
32,1.9496787716853934,1.8292897241753967
